show_id,Show Title,Year,Previews Date,Opening Date,Closing Date,Theatre Name,Production Type,Show Type,Show Type (Simple),Intermissions,N Performances,Run Time,Show Not Opened,Revival,Other Titles,Official Website,N People,N Performers,N Creative Team,theatre_id,Theatre Full Address,Theatre Street Address,Theatre Address Locality,Theatre Address Region,Theatre Postal Code,Theatre Year Closed,Theatre Year Demolished,Theatre Capacity
331633,Miss Saigon,2017,2017-03-01,2017-03-23,2018-01-14,Broadway Theatre (Broadway),Revival,Musical,Musical,1.0,,,False,True,,http//www.saigonbroadway.com/,64,45,20,5017.0,1681 Broadway New York NY,1681 Broadway,New York,NY,,,,1761.0
331748,Sweat,2017,2017-03-04,2017-03-26,2017-06-25,Studio 54,Premiere,Play,Play,1.0,,,False,False,,http//sweatbroadway.com/,36,16,20,5132.0,254 West 54th St. New York NY,254 West 54th St.,New York,NY,,,,1006.0
331744,The Play That Goes Wrong,2017,2017-03-09,2017-04-02,2019-01-06,Lyceum Theatre (Broadway),Premiere,Play,Play,1.0,,,False,False,,http//broadwaygoeswrong.com/,16,10,7,7033.0,149 W. 45th St. New York NY 10036,149 W. 45th St.,New York,NY,10036,,,922.0
331551,Amelie,2017,2017-03-09,2017-04-03,2017-05-21,Walter Kerr Theatre,Premiere,Musical,Musical,,,,False,False,,http//ameliebroadway.com/,52,18,35,5537.0,219 West 48th St. New York NY,219 West 48th St.,New York,NY,,,,945.0
331641,Present Laughter,2017,2017-03-10,2017-04-05,2017-07-02,St. James Theatre (Broadway),Revival,Play,Play,,,,False,True,,http//www.laughteronbroadway.com/,31,15,16,5077.0,246 West 44th St. New York NY,246 West 44th St.,New York,NY,,,,1709.0
331688,War Paint,2017,2017-03-07,2017-04-06,2017-11-05,Nederlander Theatre,Premiere,Musical,Musical,1.0,,,False,False,,http//www.warpaintmusical.com,36,19,17,7047.0,208 W. 41st St. New York NY 10036,208 W. 41st St.,New York,NY,10036,,,1235.0
331694,Oslo,2017,2017-03-23,2017-04-13,2017-07-16,Vivian Beaumont Theatre,Premiere,Play,Play,2.0,,,False,False,,http//www.lct.org/shows/oslo-broadway/,31,14,17,7482.0,150 West 65th St. at Broadway New York NY 10023,150 West 65th St. at Broadway,New York,NY,10023,,,1080.0
331275,Groundhog Day,2017,2017-03-16,2017-04-17,2017-09-17,August Wilson Theatre,Original Production,Musical,Musical,,,,False,False,,http//www.groundhogdaymusical.com,45,25,21,6696.0,245 W. 52nd St. New York NY 10019,245 W. 52nd St.,New York,NY,10019,,,1228.0
331700,Indecent,2017,2017-04-01,2017-04-18,2017-08-06,Cort Theatre (Broadway),Premiere,Play,Play,0.0,,,False,False,,http//indecentbroadway.com/,25,10,16,5028.0,138 West 48th St. New York NY,138 West 48th St.,New York,NY,,,,1084.0
331695,The Little Foxes,2017,2017-03-29,2017-04-19,2017-07-02,Samuel J. Friedman Theatre,Revival,Play,Play,,,,False,True,,http//www.manhattantheatreclub.com/2016-,29,10,19,6984.0,261 W. 47th St. New York NY,261 W. 47th St.,New York,NY,,,,650.0
